x1	x2	y
0.539928536	0.511597436	0.762539569
1.752336996	0.973392489	2.638822322
-1.151924959	-0.879407884	-0.442006458
-2.579457771	-0.550646151	-2.37495435
1.634322606	0.988882485	2.541753381
-0.223507278	-0.216278657	-0.212469611
0.078855525	0.091585876	0.157719996
0.221534012	0.227277386	0.357460513
-0.870942883	-0.797692057	-0.299213361
-0.143186414	-0.164940098	-0.320340927
-0.875809663	-0.783989985	-0.157049885
0.507249229	0.489951326	0.740495048
0.685052384	0.692082541	1.229620774
-0.352156185	-0.307457797	-0.222849139
1.195436029	0.896886857	1.846781568
0.372332762	0.382819706	0.64162695
-0.377971118	-0.391491321	-0.274840146
0.914530037	0.804142962	1.5803042
0.541002375	0.510709256	0.77434917
-0.964520671	-0.814329734	-0.42300697
-0.754604089	-0.671757247	-0.238746184
-0.121777236	-0.132232927	-0.0358251
0.385933109	0.397170177	0.578861537
1.276915647	0.974089349	2.186250528
-0.940392423	-0.781885628	-0.373267346
-1.242993988	-0.948274152	-0.302928934
0.102685004	0.102529948	0.018866475
0.278213766	0.317740923	0.375254334
-0.183265327	-0.233071077	-0.18110396
-1.592462602	-0.993809242	-0.53972224
-0.269223536	-0.245462381	-0.242068808
1.249911596	0.976617291	2.111257012
0.692056981	0.643673767	1.115536967
1.015441928	0.817747727	1.670865604
-0.365525025	-0.385111147	-0.178572005
0.253242629	0.228044363	0.482037977
-0.850902463	-0.739641018	-0.248682209
-0.659584821	-0.621757607	-0.122927203
-0.009195839	-0.037203606	-0.08753
1.050290665	0.838737114	1.874262282
0.614597259	0.572914276	1.01269513
0.645682569	0.600488063	0.918957853
0.534705498	0.496195053	0.570821339
0.19130941	0.208342337	0.295847401
1.212377748	0.903220485	2.160565333
-1.343404873	-0.966094872	-0.483618282
1.213577552	0.959118217	1.978767184
0.68957745	0.639122258	1.160556334
-1.107467702	-0.892936331	-0.290891762
0.705872295	0.677489385	1.086497541
0.405942474	0.378659385	0.51242145
-0.450293602	-0.418590441	-0.204050045
